ip,cuid,cuid_port,citycode,latitude,longtitude,accuracy,location_port,360_result,360_port
175.186.104.82,,,,,,,,"xxxx({""m2"":""e56dfe060b4fa9e139cfd65c47d1b5ae"",""verCode"":300030234,""channel"":""600000"",""server_version"":1,""freeData_encrypt"":true})",38517
175.186.104.123,,,,,,,6677,,
175.186.104.245,043A86B7600877CCC233EC9DA75A0F6B|053930710014568,40310,,,,,40310,,
175.186.105.65,,,,,,,,"xxxx({""verCode"":300030266,""shake"":true,""freeData_encrypt"":true,""desk_game_union"":true,""server_version"":1,""m2"":""125669c3d1ebeb5f471fd7c408508ad9"",""channel"":""600000"",""OS_version"":21})",38517
175.186.105.70,FCDBCB620C4939C1231B88A1770AAF54|931248320696668,40310,289,3635953.862879,13537283.507146,74.214082,40310,,
175.186.105.120,,,,,,,,"xxxx({""m2"":""f9ab003662c6b282717e08c427375ce0"",""verCode"":300030244,""channel"":""600000"",""server_version"":1,""OS_version"":15,""freeData_encrypt"":true})",38517
175.186.105.170,835826FE0C91DF00FC78B3D4514B8E2F|028119160526253,40310,,,,,,,
175.186.105.178,,,,,,,,forbidden,38517
175.186.106.8,,,,,,,,forbidden,38517
175.186.106.44,,,,,,,,"xxxx({""m2"":""f73b315717e351efbc62d0dd1e9644e8"",""verCode"":300030250,""channel"":""700000"",""server_version"":1,""OS_version"":19,""freeData_encrypt"":true})",38517
175.186.106.51,,,,,,,6677,,
175.186.106.68,,,,,,,6677,,
175.186.106.87,7AE4F35A47E4A3791253DD65BEDE0C95|269098050315753,6259,,,,,,"xxxx({""m2"":""d5228c1a3cd804146f17aaf5e2894af9"",""verCode"":300030250,""channel"":""600000"",""server_version"":1,""OS_version"":16,""freeData_encrypt"":true})",38517
175.186.106.196,137BF141DE348212955E0007AFD054B6|609663320301468,40310,,,,,,,
175.186.106.220,83DC2DBA68AEAB4CC6701F34A45236AE|142455320133668,40310,,,,,,,
175.186.106.208,CAEF6B281FB27E085DCE2C63B6BC0898|562362250136953,40310,,,,,,,
175.186.106.224,,,,,,,,forbidden,38517
175.186.106.250,,,,,,,,"xxxx({""m2"":""172e9e0a55635530a69463e66eccbf32"",""verCode"":300030250,""channel"":""100130"",""server_version"":1,""OS_version"":18,""freeData_encrypt"":true})",38517
175.186.107.12,,,,,,,6677,,
175.186.107.6,,,,,,,,"xxxx({""m2"":""d6c1dde850a05f9567fada2ee26c1ea1"",""verCode"":300030395,""channel"":""100230"",""server_version"":1,""freeData_encrypt"":true})",38517
175.186.107.183,,,,,,,,"xxxx({""m2"":""4c0e4f308c91c9efd7819787caf587a0"",""verCode"":300030234,""channel"":""300001"",""server_version"":1,""freeData_encrypt"":true})",38517
10.221.128.116,4E3F4671EDF2D3491A4AF4B5EC24EA36|064207050356553,40310,289,3649777.242503,13526658.427655,30,40310,,
10.221.130.31,9F68C2B4996CDB70074322826D3FE256|882485560660553,40310,,,,,,,
10.221.130.157,EA727ED7E33A5BFF9BB1AC00E2B636AE|26817466500099,40310,289,3649907.697412,13526329.393966,30,40310,,
10.221.130.178,FDD8039252692D7A16D48C508BB2785F|964191420602568,40310,,,,,,,
10.221.130.224,,,,,,,,"xxxx({""m2"":""82e875effabf70a9c8c1ca15a9758a74"",""verCode"":300030234,""channel"":""100130"",""server_version"":1,""freeData_encrypt"":true})",38517
10.221.130.241,,,,,,,6677,,
10.221.131.31,,,,,,,6677,,
10.221.132.6,,,,,,,,forbidden,38517
10.221.132.103,6931D52BEA0315C76363605BBB1A7535|96919F4400000A,40310,,,,,,,
10.221.132.118,,,,,,,,forbidden,38517
10.221.132.156,,,,,,,6677,,
10.221.132.228,8306FFF345B075CF191C4BD9BA883EBE|505458360926653,40310,,,,,,,
10.221.133.123,,,,,,,,forbidden,38517
10.221.134.4,,,,,,,,"xxxx({""m2"":""d5c90f7b5f60e16fd1a3747d2c3e9dc1"",""verCode"":300030395,""channel"":""100130"",""server_version"":1,""freeData_encrypt"":true})",38517
10.221.134.61,3EDD62307F0A9129165F46C278165331|968629450177353,40310,289,3649913.855054,13526708.609056,40,40310,,
10.221.134.144,,,,,,,,forbidden,38517
10.221.134.239,,,,,,,6677,,
10.221.135.107,A4144D52F15406E715BAD6BF245600B8|246935460813653,6259,,,,,,,
10.221.135.204,,,,,,,,forbidden,38517
10.221.135.233,,,,,,,,"xxxx({""verCode"":300030244,""freeData_encrypt"":true,""server_version"":1,""m2"":""abdb556bbbc7c095f1786b03a1fbe1e7"",""channel"":""431000174"",""OS_version"":21})",38517
10.221.136.74,,,,,,,,forbidden,38517
10.221.137.38,,,,,,,6677,,
10.221.137.129,4322F6050EF79E634FBFAE1D3ADEDB8F|1B4F675500000A,40310,289,3654905.924535,13527017.742592,30,40310,,
10.221.138.5,,,,,,,6677,,
10.221.139.40,,,,,,,,"xxxx({""verCode"":300030223,""freeData_encrypt"":true,""server_version"":1,""m2"":""275cb7fdc786181bd36813e2a1ef4e14""})",38517
10.221.139.193,D4407BA5493183897028019828FEF429|618994560188953,40310,,,,,,,
10.221.139.197,4C9AAD3499174100D78B46CAA82C774B|972740650932853,40310,289,3650034.338248,13526756.371189,48.829624,40310,,
10.221.140.56,C48421F2BB3550001E27298A41AECDD8|510806750234653,6259,,,,,,,
10.221.140.233,04337115084A9A3F109F6A5A094BC56E|324326020895668,40310,,,,,,,
